[{'score': 0.639565, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.29834, 'label': '/home and garden/home improvement and repair/plumbing'}, {'score': 0.231681, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.933034, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.182423, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.16113, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.638023, 'label': '/health and fitness/disease/allergies'}, {'score': 0.483421, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.350424, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.602865, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.53533, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.420878, 'label': '/health and fitness/weight loss'}]
[{'score': 0.677378, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.407786, 'label': '/home and garden/home furnishings/rugs and carpets'}, {'score': 0.404521, 'label': '/business and industrial/agriculture and forestry/crops and seed'}]
[{'score': 0.414517, 'label': '/health and fitness/disease/allergies'}, {'score': 0.365027, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.167274, 'label': '/health and fitness/disease'}]
[{'score': 0.707322, 'label': '/art and entertainment/movies and tv/movies'}, {'score': 0.312014, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.128735, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.831549, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.167135, 'label': '/health and fitness/disease/aids and hiv'}, {'score': 0.101052, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.368978, 'label': '/health and fitness/disease/allergies'}, {'score': 0.276577, 'label': '/sports/running and jogging'}, {'score': 0.267126, 'label': '/health and fitness/disease'}]
[{'score': 0.706006, 'label': '/technology and computing/consumer electronics/tv and video equipment/televisions/hdtvs'}, {'score': 0.705301, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0342733, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.996489, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0657846, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0450882, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.379607, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.358539, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.326065, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.731567, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.640802, 'label': '/health and fitness/disease/allergies'}, {'score': 0.144679, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.737505, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.663784, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.121944, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.577368, 'label': '/style and fashion/footwear/boots'}, {'score': 0.572771, 'label': '/society/sex'}, {'score': 0.347281, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.707152, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.707054, 'label': '/health and fitness/disease/allergies'}, {'score': 0.00213639, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.908184, 'label': '/health and fitness/disease/allergies'}, {'score': 0.410302, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0781833, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.582154, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.577112, 'label': '/health and fitness/disease/allergies'}, {'score': 0.377615, 'label': '/technology and computing/hardware/computer components/disks'}]
[{'score': 0.597836, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.547496, 'label': '/health and fitness/disease/allergies'}, {'score': 0.259165, 'label': '/health and fitness/disease/cancer'}]
[{'score': 0.706413, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.406703, 'label': '/religion and spirituality/christianity/orthodoxy'}, {'score': 0.277269, 'label': '/religion and spirituality/christianity/catholicism'}]
[{'score': 0.955613, 'label': '/health and fitness/disease/allergies'}, {'score': 0.202687, 'label': '/hobbies and interests/arts and crafts/candle and soap making'}, {'score': 0.119811, 'label': '/home and garden/home furnishings/rugs and carpets'}]
[{'score': 0.771318, 'label': '/health and fitness/disease/allergies'}, {'score': 0.345314, 'label': '/science/medicine/surgery'}, {'score': 0.320513, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.537664, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.505139, 'label': '/society/sex'}, {'score': 0.499441, 'label': '/travel/tourist destinations/canada'}]
[{'score': 0.699104, 'label': '/health and fitness/disease/allergies'}, {'score': 0.501529, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.271443, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.663294, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.556663, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.499016, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.445862, 'label': '/health and fitness/disease/allergies'}, {'score': 0.31549, 'label': '/family and parenting/children'}, {'score': 0.261227, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.498394, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.243041, 'label': '/science/weather'}, {'score': 0.212617, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.664648, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.44389, 'label': '/health and fitness/disease/allergies'}, {'score': 0.166437, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.603869, 'label': '/health and fitness/disease/allergies'}, {'score': 0.391375, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.26974, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.893372, 'label': '/health and fitness/disease/allergies'}, {'score': 0.371874, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.114992, 'label': '/health and fitness/disease'}]
[{'score': 0.728873, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.366343, 'label': '/health and fitness/disease/allergies'}, {'score': 0.284695, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.407598, 'label': '/art and entertainment/music/singing'}, {'score': 0.19419, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.123853, 'label': '/science/medicine/surgery'}]
[{'score': 0.860716, 'label': '/health and fitness/disease/allergies'}, {'score': 0.483677, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.125837, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.651738, 'label': '/health and fitness/disease/allergies'}, {'score': 0.507631, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.438064, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.608984, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.552171, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.346373, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.540028, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.46185, 'label': '/health and fitness/disease/allergies'}, {'score': 0.301545, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.929834, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.246133, 'label': '/health and fitness/disease/allergies'}, {'score': 0.202991, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.707101, 'label': '/food and drink/food/grains and pasta'}, {'score': 0.595646, 'label': '/science/medicine/surgery'}, {'score': 0.350906, 'label': '/science/medicine/surgery/cosmetic surgery'}]
[{'score': 0.31381, 'label': '/sports/running and jogging'}, {'score': 0.276908, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.174479, 'label': '/health and fitness/disease'}]
[{'score': 0.702287, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.693719, 'label': '/art and entertainment/dance'}, {'score': 0.135131, 'label': '/art and entertainment/movies and tv/movies'}]
[{'score': 0.703695, 'label': '/style and fashion/footwear/boots'}, {'score': 0.52094, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.344942, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.713838, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.595568, 'label': '/health and fitness/disease/allergies'}, {'score': 0.342396, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.671658, 'label': '/science/weather'}, {'score': 0.293282, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.242381, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.908184, 'label': '/health and fitness/disease/allergies'}, {'score': 0.410302, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0781833, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.579084, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.477999, 'label': '/science/medicine/surgery'}, {'score': 0.466836, 'label': '/business and industrial/energy/oil/oil and gas prices'}]
[{'score': 0.523729, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.292644, 'label': '/art and entertainment/movies and tv/movies'}, {'score': 0.129553, 'label': '/science/medicine/surgery'}]
[{'score': 0.552414, 'label': '/business and industrial/agriculture and forestry/farms and ranches'}, {'score': 0.430825, 'label': '/health and fitness/sexuality'}, {'score': 0.2312, 'label': '/business and industrial'}]
[{'score': 0.569569, 'label': '/health and fitness/disease/allergies'}, {'score': 0.34884, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.282233, 'label': '/family and parenting/children'}]
[{'score': 0.576827, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.574861, 'label': '/science/weather'}, {'score': 0.348378, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.260038, 'label': '/art and entertainment/music/singing'}, {'score': 0.250355, 'label': '/food and drink'}, {'score': 0.184309, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.511204, 'label': '/art and entertainment/music/musical instruments/guitars'}, {'score': 0.389571, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.283189, 'label': '/art and entertainment/music/singing'}]
[{'score': 0.735849, 'label': '/health and fitness/disease/allergies'}, {'score': 0.66724, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0999672, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.633, 'label': '/health and fitness/disease/allergies'}, {'score': 0.527493, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.511947, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.648759, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.294835, 'label': '/health and fitness/disease/allergies'}, {'score': 0.176385, 'label': '/science/medicine/surgery'}]
[{'score': 0.918458, 'label': '/health and fitness/disease/allergies'}, {'score': 0.29022, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0557701, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.775685, 'label': '/health and fitness/disease/allergies'}, {'score': 0.528616, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.212384, 'label': '/science/medicine/surgery'}]
[{'score': 0.678887, 'label': '/health and fitness/disease/allergies'}, {'score': 0.61308, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.13478, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.839486, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.332686, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.238438, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.480766, 'label': '/health and fitness/disease/allergies'}, {'score': 0.257295, 'label': '/science/medicine/surgery'}, {'score': 0.198279, 'label': '/health and fitness/disease'}]
[{'score': 0.630482, 'label': '/shopping/gifts/flowers'}, {'score': 0.497616, 'label': '/science/medicine/surgery'}, {'score': 0.370277, 'label': '/food and drink'}]
[{'score': 0.57726, 'label': '/science/medicine/surgery'}, {'score': 0.524409, 'label': '/health and fitness/disease/allergies'}, {'score': 0.409641, 'label': '/finance/bank/checks'}]
[{'score': 0.698618, 'label': '/health and fitness/disease/allergies'}, {'score': 0.555275, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.204979, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.720827, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.215442, 'label': '/health and fitness/disease/allergies'}, {'score': 0.141646, 'label': '/health and fitness/disease/cancer'}]
[{'score': 0.990158, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0637188, 'label': '/health and fitness/disease'}, {'score': 0.0563431, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.70093, 'label': '/health and fitness/disease/allergies'}, {'score': 0.601586, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.312782, 'label': '/style and fashion/footwear/boots'}]
[{'score': 0.940873, 'label': '/health and fitness/disease/allergies'}, {'score': 0.153914, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0919272, 'label': '/hobbies and interests/reading'}]
[{'score': 0.998962, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0451423, 'label': '/health and fitness/disease/allergies'}, {'score': 0.00410455, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.442013, 'label': '/food and drink/food/grains and pasta'}, {'score': 0.371159, 'label': '/food and drink'}, {'score': 0.340866, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.709251, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.642183, 'label': '/health and fitness/disease/allergies'}, {'score': 0.290127, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.915255, 'label': '/health and fitness/disease/allergies'}, {'score': 0.248854, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.241318, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.709163, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.678185, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0496341, 'label': '/food and drink'}]
[{'score': 0.97472, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.209167, 'label': '/health and fitness/disease/allergies'}, {'score': 0.035949, 'label': '/health and fitness/disease'}]
[{'score': 0.713415, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.555644, 'label': '/health and fitness/disease/allergies'}, {'score': 0.199922, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.999726, 'label': '/health and fitness/disease/allergies'}, {'score': 0.020623, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0063681, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.706427, 'label': '/art and entertainment/music'}, {'score': 0.703928, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0663704, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.959901, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.190672, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0818824, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.704747, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.508854, 'label': '/travel/tourist destinations/ski resorts'}, {'score': 0.387774, 'label': '/society/sex'}]
[{'score': 0.709931, 'label': '/food and drink'}, {'score': 0.295624, 'label': '/health and fitness/disease/allergies'}, {'score': 0.292407, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.644441, 'label': '/family and parenting/children'}, {'score': 0.598458, 'label': '/health and fitness/disease/allergies'}, {'score': 0.222034, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.753307, 'label': '/health and fitness/disease/allergies'}, {'score': 0.514852, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.216603, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.736216, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.648842, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0851113, 'label': '/health and fitness/disease'}]
[{'score': 0.931234, 'label': '/health and fitness/disease/allergies'}, {'score': 0.194767, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.112986, 'label': '/health and fitness/disease'}]
[{'score': 0.908184, 'label': '/health and fitness/disease/allergies'}, {'score': 0.410302, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0781833, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.895518, 'label': '/health and fitness/disease/allergies'}, {'score': 0.388536, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.160335, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.958194, 'label': '/health and fitness/disease/allergies'}, {'score': 0.197212, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0883712, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.72038, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.598689, 'label': '/health and fitness/disease/allergies'}, {'score': 0.347615, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.170162, 'label': '/health and fitness/disease/allergies'}, {'score': 0.145287, 'label': '/science/medicine/surgery/transplants'}, {'score': 0.126152, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.67076, 'label': '/health and fitness/disease/allergies'}, {'score': 0.477398, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.164977, 'label': '/home and garden/home furnishings/rugs and carpets'}]
[{'score': 0.908184, 'label': '/health and fitness/disease/allergies'}, {'score': 0.410302, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0781833, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.72556, 'label': '/health and fitness/disease/allergies'}, {'score': 0.575943, 'label': '/health and fitness/exercise'}, {'score': 0.312455, 'label': '/science/medicine/surgery'}]
[{'score': 0.535946, 'label': '/health and fitness/addiction'}, {'score': 0.495813, 'label': '/health and fitness/disease/allergies'}, {'score': 0.337269, 'label': '/technology and computing/hardware/computer components/disks'}]
[{'score': 0.577338, 'label': '/society/welfare/healthcare/hospital'}, {'score': 0.57725, 'label': '/style and fashion/footwear/boots'}, {'score': 0.574755, 'label': '/health and fitness/disease/headaches and migraines'}]
[{'score': 0.79763, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.179842, 'label': '/health and fitness/disease/allergies'}, {'score': 0.176572, 'label': '/health and fitness/disease'}]
[{'score': 0.803385, 'label': '/health and fitness/disease/allergies'}, {'score': 0.506331, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.180432, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.718521, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.282355, 'label': '/science/medicine/surgery'}, {'score': 0.191931, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.908184, 'label': '/health and fitness/disease/allergies'}, {'score': 0.410302, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0781833, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.942408, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.186166, 'label': '/health and fitness/disease/allergies'}, {'score': 0.121732, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.996948, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0647138, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0267125, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.886557, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.230046, 'label': '/health and fitness/disease/allergies'}, {'score': 0.119637, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.553045, 'label': '/science/medicine/surgery'}, {'score': 0.358526, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.239309, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.870511, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.174632, 'label': '/health and fitness/disease/allergies'}, {'score': 0.144358, 'label': '/health and fitness/disorders/mental disorder/depression'}]
[{'score': 0.451854, 'label': '/food and drink'}, {'score': 0.372468, 'label': '/food and drink/beverages/alcoholic beverages/cocktails and beer'}, {'score': 0.327425, 'label': '/food and drink/beverages/non alcoholic beverages/coffee and tea'}]
[{'score': 0.977438, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.208365, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0288867, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.672711, 'label': '/health and fitness/disease/allergies'}, {'score': 0.375432, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.297615, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.999726, 'label': '/health and fitness/disease/allergies'}, {'score': 0.020623, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0063681, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.576299, 'label': '/news'}, {'score': 0.511532, 'label': '/style and fashion/clothing/pants'}, {'score': 0.266415, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.442471, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.404847, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.192388, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.711411, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.437128, 'label': '/science/medicine/surgery'}, {'score': 0.264436, 'label': '/health and fitness/disease/cancer'}]
[{'score': 0.805211, 'label': '/health and fitness/disease/allergies'}, {'score': 0.379596, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.190702, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.937433, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.183541, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0919207, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.987346, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.109985, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0845253, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.703636, 'label': '/art and entertainment/music'}, {'score': 0.692205, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.114954, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.984258, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.170496, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0290828, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.897354, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.270375, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.211688, 'label': '/health and fitness/disease/allergies'}]
[{'score': 0.999776, 'label': '/health and fitness/disease/allergies'}, {'score': 0.0171232, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.00437088, 'label': '/health and fitness/disease/asthma'}]
[{'score': 0.421226, 'label': '/health and fitness/disease/allergies'}, {'score': 0.293205, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.254012, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.908184, 'label': '/health and fitness/disease/allergies'}, {'score': 0.410302, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.0781833, 'label': '/health and fitness/disease/cold and flu'}]
[{'score': 0.927604, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.235372, 'label': '/health and fitness/disease/allergies'}, {'score': 0.109884, 'label': '/science/medicine/surgery'}]
[{'score': 0.663901, 'label': '/health and fitness/disease/headaches and migraines'}, {'score': 0.553639, 'label': '/health and fitness/disease/cold and flu'}, {'score': 0.385999, 'label': '/science/medicine/surgery'}]
